Entity,Code,Year,Aquaculture production (metric tons),Capture fisheries production (metric tons)
Norway,NOR,1960,1900,1609362
Norway,NOR,1961,900,1758413
Norway,NOR,1962,200,1572913
Norway,NOR,1963,100,1590281
Norway,NOR,1964,601,1876034
Norway,NOR,1965,202,2459647
Norway,NOR,1966,204,3123804
Norway,NOR,1967,318,3532712
Norway,NOR,1968,365,2949754
Norway,NOR,1969,427,2670206
Norway,NOR,1970,480,3174896
Norway,NOR,1971,531,3268731
Norway,NOR,1972,924,3320112
Norway,NOR,1973,1172,3132936
Norway,NOR,1974,2327,2784478
Norway,NOR,1975,2517,2666846
Norway,NOR,1976,3476,3505372
Norway,NOR,1977,3932,3622323
Norway,NOR,1978,5645,2768928
Norway,NOR,1979,7377,2838467
Norway,NOR,1980,7980,2590721
Norway,NOR,1981,13042,2757933
Norway,NOR,1982,15329,2706242
Norway,NOR,1983,22712,2965073
Norway,NOR,1984,25453,2588549
Norway,NOR,1985,34617,2238292
Norway,NOR,1986,49392,2046531
Norway,NOR,1987,55379,2105840
Norway,NOR,1988,88268,1954589
Norway,NOR,1989,115191,1986048
Norway,NOR,1990,150583,1815439
Norway,NOR,1991,160705,2217405
Norway,NOR,1992,131102,2634287
Norway,NOR,1993,164499,2597625
Norway,NOR,1994,218486,2569570
Norway,NOR,1995,277615,2725343
Norway,NOR,1996,321516,2838765
Norway,NOR,1997,367617,3065340
Norway,NOR,1998,410757,3050677
Norway,NOR,1999,475932,2813066
Norway,NOR,2000,491329,2912914
Norway,NOR,2001,510748,2874716
Norway,NOR,2002,551300,2934446
Norway,NOR,2003,584422,2715529
Norway,NOR,2004,636802,2687989
Norway,NOR,2005,661877,2568736
Norway,NOR,2006,712373,2419512
Norway,NOR,2007,841560,2529299
Norway,NOR,2008,848359,2586996
Norway,NOR,2009,961839.8125,2701745
Norway,NOR,2010,1019801.9375,2843873
Norway,NOR,2011,1143893.375,2445602
Norway,NOR,2012,1321119.125,2297476
Norway,NOR,2013,1247865.125,2250138
Norway,NOR,2014,1332497,2468734
Norway,NOR,2015,1380890,2444245
Norway,NOR,2016,1326216.25,2205387
Norway,NOR,2017,1308633.75,2545579
Norway,NOR,2018,1355116.875,2663874
